M1.j,Min. global Metal1 density [%]
M1.k,Max. global Metal1 density [%]
M2.j,Min. global Metal2 density [%]
M2.k,Max. global Metal2 density [%]
M3.j,Min. global Metal3 density [%]
M3.k,Max. global Metal3 density [%]
M4.j,Min. global Metal4 density [%]
M4.k,Max. global Metal4 density [%]
M5.j,Min. global Metal5 density [%]
M5.k,Max. global Metal5 density [%]
M1Fil.h,Min. Metal1 and Metal1:filler coverage ratio for any 800 x 800 µm² chip area [%]
M1Fil.k,Max. Metal1 and Metal1:filler coverage ratio for any 800 x 800 µm² chip area [%]
M2Fil.h,Min. Metal2 and Metal2:filler coverage ratio for any 800 x 800 µm² chip area [%]
M2Fil.k,Max. Metal2 and Metal2:filler coverage ratio for any 800 x 800 µm² chip area [%]
M3Fil.h,Min. Metal3 and Metal3:filler coverage ratio for any 800 x 800 µm² chip area [%]
M3Fil.k,Max. Metal3 and Metal3:filler coverage ratio for any 800 x 800 µm² chip area [%]
M4Fil.h,Min. Metal4 and Metal4:filler coverage ratio for any 800 x 800 µm² chip area [%]
M4Fil.k,Max. Metal4 and Metal4:filler coverage ratio for any 800 x 800 µm² chip area [%]
M5Fil.h,Min. Metal5 and Metal5:filler coverage ratio for any 800 x 800 µm² chip area [%]
M5Fil.k,Max. Metal5 and Metal5:filler coverage ratio for any 800 x 800 µm² chip area [%]
TM1.c,Min. global TopMetal1 density [%]
TM1.d,Max. global TopMetal1 density [%]
TM2.c,Min. global TopMetal2 density [%]
TM2.d,Max. global TopMetal2 density [%]
