forbidden.BiWind,Forbidden drawn layer BiWind on GDS layer 3/0
forbidden.PEmWind,Forbidden drawn layer PEmWind on GDS layer 11/0
forbidden.BasPoly,Forbidden drawn layer BasPoly on GDS layer 13/0
forbidden.DeepCo,Forbidden drawn layer DeepCo on GDS layer 35/0
forbidden.PEmPoly,Forbidden drawn layer PEmPoly on GDS layer 53/0
forbidden.EmPoly,Forbidden gen./drawn layer EmPoly on GDS layer 55/0
forbidden.LDMOS,Forbidden drawn layer LDMOS on GDS layer 57/0
forbidden.PBiWind,Forbidden drawn layer PBiWind on GDS layer 58/0
forbidden.Flash,Forbidden drawn layer Flash on GDS layer 71/0
forbidden.ColWind,Forbidden drawn layer ColWind on GDS layer 139/0
